annual_income_k,spending_score
34,82.9
28.9,84.5
35.2,88.7
42.2,88.4
28.1,69
28.1,72.5
42.6,84.1
36.1,84.1
26.2,84.1
34.3,100
26.3,84.6
26.3,89.1
31.9,87.6
15,85.2
16.2,77.5
25.5,86.1
21.9,73.8
32.5,78.1
22.7,76.1
18.7,80.7
41.7,98.5
28.2,65.1
30.5,85.5
18.6,67.1
25.6,76.2
30.9,88.7
20.8,80.5
33,71.4
25.2,74.3
27.7,85.4
25.2,74.2
44.8,81.7
29.9,80.4
21.5,74.8
36.6,97.2
20.2,85.1
31.7,63.8
15,81.5
19.4,74.7
31.6,86.8
35.9,73.7
31.4,79.1
29.1,84
27.6,86.9
18.2,70.4
24.2,77.3
26.3,76.2
38.5,74.8
32.7,94.1
15.9,83.2
32.6,69.9
26.9,87.3
24.6,97
34.9,88.3
38.2,67.8
37.5,76.1
23.3,90.1
27.5,74.3
32.7,83.6
37.8,86.2
26.2,72.6
28.5,79.5
21.1,54.1
20.4,71.8
36.5,78
40.8,70
29.4,93.1
38,68.6
32.9,76.5
24.8,81
32.9,91.5
42.3,68.5
29.7,89.3
42.5,80.1
15,72.1
36.6,83.7
30.7,81.6
27.6,75.2
30.7,80.6
15,76.9
28.2,80.9
32.9,85.3
41.8,92.7
25.9,70.1
23.5,97.1
26,64.4
37.3,78.8
32.6,84.7
25.8,82.2
34.1,75
30.8,78.3
37.7,76.1
24.4,75.3
27.4,86.8
26.9,82.9
18.3,74.5
32.4,87.2
32.1,82.5
30,86.5
28.1,85
18.7,73.4
26.6,75.5
27.3,86
23.6,84.9
28.7,79.8
33.2,80.9
45.1,90.2
31.4,75.3
32.1,84.4
29.4,78.4
15,78.3
29.8,88.8
30.5,86.6
49.7,86.5
28.5,90.4
32.4,80.2
29.7,85.5
20.7,77.5
39.1,82.6
36,79
36.3,80.8
22.7,84.8
41.2,73.5
18.8,96.7
34.7,72
47.5,70.3
22.1,89.3
25.5,86.3
30.8,85
26,85
17.6,79.9
30.5,72.8
21.5,80.6
33.8,74.6
22.6,87.8
42.4,78.8
23.7,73.4
27.4,77.4
36.5,83.3
20.2,75.5
31.8,73.4
40.5,81.9
17.1,82
31.5,75.9
32.1,76.2
36.3,81.9
20.1,68.4
19.4,68.7
34.2,74.3
32.4,78.3
32,82.5
32.8,91.8
24.6,86.9
31.9,78.7
32.3,79.8
24.3,72
44.9,79.9
33.8,77.7
20.5,82.6
35.3,73.4
22.2,84.2
36.3,92.3
39.3,79.1
23.4,83.2
37.7,85.5
33.3,76.8
